titulo,tipo,ano,capa,sinopse,categoria
THE GHOST IN THE SHELL,Série,2026.0,https://image.tmdb.org/t/p/w500/v6D7aBJynhY6opGugGJkofzknw6.jpg,"2029, Japão, num futuro próximo. A ciborgue Motoko Kusanagi projeta uma força-tarefa de prevenção a ameaças. Ela e sua equipe são recrutadas por Daisuke Aramaki para formar a Seção 9, ou Esquadrão Blindado. Uma conspiração internacional aponta para um hacker conhecido como Mestre dos Fantoches. Qual será o destino de Kusanagi? E a cartada final do hacker? Uma nova era da ação cyberpunk começa!",Ficção Científica
Terra da Máfia,Série,2025.0,https://image.tmdb.org/t/p/w500/89DEvnUmRAZraf84jLjtkN4SH8B.jpg,"O poder está em disputa quando duas famílias do crime se chocam numa batalha que ameaça derrubar impérios e arruinar vidas. No meio está Harry Da Souza, um ""resolvedor de problemas"" que sabe bem onde a lealdade está quando as forças opostas colidem.",Comfort Movies
Coração Selvagem,Filme,2026.0,https://image.tmdb.org/t/p/w500/n4PJa4xVo4SjIsBvTA0yGMKjTBh.jpg,Um ex-soldado ferido e seu cão de guerra aposentado lutam para sobreviver na região do Alasca e encontrar o caminho de volta para casa após um acidente aéreo na mata.,Ação
Estilhaços,Série,2026.0,https://image.tmdb.org/t/p/w500/hMkkiXVwiGcJ5yF1kcsN7LUEDXu.jpg,"Los Angeles, anos 80. Em uma escola de elite, jovens privilegiados lidam com identidade, sexo, ciúme e obsessão. Mas a fachada da adolescência americana esconde perigos que eles nem imaginam.",Blockbusters & Fura-Bolha
Mushoku Tensei: Jobless Reincarnation,Série,2021.0,https://image.tmdb.org/t/p/w500/tn2mxPYSSUPHgfcAe5SCga1DO0i.jpg,"Quando um fracassado de 34 anos é atropelado por um ônibus, sua história não acaba. Reencarnado em um novo mundo como criança, Rudy aproveitará cada oportunidade para viver a vida que sempre quis. Com novos amigos, habilidades mágicas e coragem para fazer tudo o que sempre sonhou, ele embarca em uma aventura épica – com toda a sua experiência do passado intacta!",Aventura e Fantasia
Colisão,Série,2026.0,https://image.tmdb.org/t/p/w500/mnwBM9LIY9nrvghRIRJV7QqUBpN.jpg,"Belén e Zoé, mãe e filha unidas pelo sangue, mas marcadas por visões de mundo opostas. Na disputa pelo controle da empresa da família, elas colocarão à prova alianças, lealdades, o amor, a ambição e seus próprios limites — em uma trama onde as aparências ocultam verdades dolorosas e cada decisão traz consequências devastadoras. Assim, os laços de sangue dão lugar a uma batalha que mudará para sempre o destino e o legado da dinastia Robles.",Terror
The Uprising,Filme,2026.0,https://image.tmdb.org/t/p/w500/wyelfvUoNINgzug19uGBaQqTuQB.jpg,"Enquanto a guerra e a peste devastam a Inglaterra do século XIV, um humilde camponês dá início a uma revolta, reunindo um exército de homens e mulheres do povo para desafiar o poder do rei numa luta desesperada por justiça e sobrevivência.",Ação
O Julgamento,Série,2026.0,https://image.tmdb.org/t/p/w500/8tim2R1DnlLz5piMosrTc3JWuGo.jpg,"Pai e filha navegam em um sistema judicial imperfeito e confrontam um oponente rico determinado a proteger seu filho depois que a filha é abusada sexualmente pelo filho, em sua busca por justiça.",Blockbusters & Fura-Bolha
Medíocres,Série,2021.0,https://image.tmdb.org/t/p/w500/73vn8TdBZDp5o4AztOGhQRYeGIR.jpg,"Enfrentando a decadência e a falta de humor, a protagonista se vê compelida a contratar uma jovem estrela da internet para lhe escrever novas piadas, mas as duas se odeiam à primeira vista. Entretanto, o desprezo de uma pela outra logo acaba se revelando o ingrediente ideal para uma boa parceria.",Blockbusters & Fura-Bolha
The Weight,Filme,2026.0,https://image.tmdb.org/t/p/w500/8i5iZV50CoEtmDCFM7RSxCkpE8h.jpg,"Quando Samuel é separado da filha e enviado para uma prisão brutal, o diretor Clancy faz-lhe uma proposta arriscada: contrabandear ouro de uma mina remota juntamente com um perigoso grupo de reclusos e, em troca, conquistar a sua liberdade.",Blockbusters & Fura-Bolha
